,Unnamed: 0,ID,Plant name,Fuel type,Unit type,Country/Area,Latitude,Longitude,Onshore/Offshore,Wiki URL,Start_production,End_production,Plant_extension,Machinery_type,flaring_in_active_period,flare_years_count_active,flare_points_within_radius_active,nearest_flare_km,flare_points_within_radius_anyyear
1291,1291,6721,Eagleville (Eagle Ford-1) - Cheyenne Petroleum,oil and gas,asset,United States,28.62602642,-98.86402269,Onshore,"https://www.gem.wiki/Eagleville_(Eagle_Ford-1)_-_Cheyenne_Petroleum_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore horizontal drilling (shale / tight oil),True,6.0,26.0,0.3270904342239945,26.0
1295,1295,6727,Eagleville (Eagle Ford-1) - Murphy Expl. & Prod. Co. - Usa,oil and gas,asset,United States,28.68649442,-98.42044845,Onshore,"https://www.gem.wiki/Eagleville_(Eagle_Ford-1)_-_Murphy_Expl._&_Prod._Co._-_Usa_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore horizontal drilling (shale / tight oil),True,9.0,19.0,1.2942342950451715,19.0
1297,1297,6729,Eagleville (Eagle Ford-1) - Ridgemar Energy Operating,oil and gas,asset,United States,28.53293184,-99.11200756,Onshore,"https://www.gem.wiki/Eagleville_(Eagle_Ford-1)_-_Ridgemar_Energy_Operating_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore horizontal drilling (shale / tight oil),True,11.0,28.0,0.8744907139532718,28.0
1299,1299,6731,Eagleville (Eagle Ford-1) - Silverbow Resources Oper,oil and gas,asset,United States,28.43800591,-98.77107269,Onshore,"https://www.gem.wiki/Eagleville_(Eagle_Ford-1)_-_Silverbow_Resources_Oper_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,11.0,42.0,0.9371823876495246,42.0
1301,1301,6733,"Eagleville (Eagle Ford-1) - Trinity Operating (Usg), (Unconventional)",oil and gas,asset,United States,28.66097349,-98.70660111,Onshore,"https://www.gem.wiki/Eagleville_(Eagle_Ford-1)_-_Trinity_Operating_(Usg),_(Unconventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,,Onshore hydraulic fracturing (primary technology),True,9.0,26.0,1.6419735884215043,26.0
1309,1309,6743,Eagleville (Eagle Ford-2) - Gulftex Energy,oil and gas,asset,United States,28.99158805,-97.85821751,Onshore,"https://www.gem.wiki/Eagleville_(Eagle_Ford-2)_-_Gulftex_Energy_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,4.05,Onshore hydraulic fracturing (primary technology),True,12.0,62.0,0.9456242511817812,68.0
1317,1317,6755,FordWest (Wolfcamp) - Chevron U. S. A.,oil and gas,asset,United States,31.93727483,-104.1896401,Onshore,"https://www.gem.wiki/FordWest_(Wolfcamp)_-_Chevron_U._S._A._Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,109.27,Onshore hydraulic fracturing (primary technology),True,5.0,16.0,1.4860705373866103,31.0
1321,1321,6759,FordWest (Wolfcamp) - Petro-Hunt Permian,oil and gas,asset,United States,31.64200817,-104.0571823,Onshore,"https://www.gem.wiki/FordWest_(Wolfcamp)_-_Petro-Hunt_Permian_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,40.47,Onshore hydraulic fracturing (primary technology),True,9.0,36.0,0.3580169577109557,48.0
1323,1323,6762,"Garden CityS. (Wolfcamp) - Browning Oil, (Unconventional)",oil and gas,asset,United States,32.74915277,-100.638392,Onshore,"https://www.gem.wiki/Garden_CityS._(Wolfcamp)_-_Browning_Oil,_(Unconventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2017-01,2026-02,4.05,Onshore hydraulic fracturing (primary technology),True,6.0,12.0,0.8015185299641917,12.0
1326,1326,6772,"Hawkville (Austin Chalk) - Eog Resources, (Unconventional)",oil and gas,asset,United States,27.81371206,-99.53525522,Onshore,"https://www.gem.wiki/Hawkville_(Austin_Chalk)_-_Eog_Resources,_(Unconventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2016-01,2026-02,404.69,Onshore hydraulic fracturing (primary technology),True,5.0,5.0,2.1154606732400483,5.0
1332,1332,6793,Hoefs T-K (Wolfcamp) - Diamondback E&P (Unconventional),oil and gas,asset,United States,31.17087415,-103.1058177,Onshore,"https://www.gem.wiki/Hoefs_T-K_(Wolfcamp)_-_Diamondback_E&P_(Unconventional)_Oil_and_Gas_Asset_(Texas,_United_States)",2018-01,2026-02,40.4686,Onshore hydraulic fracturing (primary technology),True,6.0,7.0,1.4433371472195875,13.0
